景区名,景区名称,城市
中泰天心,重庆巴南中泰天心佛文化旅游区,巴南
陈独秀旧居陈列馆,重庆江津陈独秀旧居陈列馆,江津
芭拉胡,重庆黔江芭拉胡景区,黔江
自然博物馆,重庆自然博物馆,北碚
丰盛古镇,重庆巴南丰盛古镇,巴南
菩提山,重庆长寿菩提山文化旅游区,长寿
滑石古寨,重庆梁平滑石古寨景区,梁平
土家十三寨,重庆黔江土家十三寨,黔江
弹子石老街,重庆南岸长嘉汇弹子石老街,南岸
融汇温泉小镇,重庆融汇温泉小镇,沙坪坝
两江国际影视城,重庆两江国际影视城,渝北
神龟峡,重庆市黔江神龟峡景区,黔江
长江索道,重庆长江索道景区,渝中
爱莉丝庄园,重庆黔江爱莉丝庄园,黔江
牡丹樱花世界,重庆垫江牡丹樱花世界景区,垫江
双江古镇,重庆潼南双江古镇景区,潼南
南天湖,重庆丰都南天湖景区,丰都
保税体验,重庆保税体验旅游景区,江北
九重天,重庆丰都九重天景区,丰都
抗战遗址博物馆,重庆抗战遗址博物馆,南岸
老瀛山,重庆綦江国家地质公园老瀛山景区,綦江
重庆建川博物馆,重庆建川博物馆,九龙坡
816工程,重庆涪陵816工程景区,涪陵
百里竹海,重庆梁平百里竹海观音洞,梁平
鎏嘉码头,重庆鎏嘉码头景区,江北
际华园,重庆际华园景区,渝北
水车坪,重庆黔江水车坪景区,黔江
羊鹿山,重庆巴南羊鹿山景区,巴南
重庆欢乐谷,重庆欢乐谷景区,渝北
恺之峰,重庆垫江恺之峰旅游区,垫江
玄天湖,重庆铜梁玄天湖景区,铜梁
汉海海洋公园,重庆汉海海洋公园,巴南
石笋山,重庆石笋山景区,江津
会龙庄,重庆江津会龙庄景区,江津
移民纪念馆,重庆三峡移民纪念馆,万州
三峡移民,重庆三峡移民纪念馆,万州
白公祠,重庆忠县白公祠文博景区,忠县
官村,重庆黔江官村景区,黔江
中山古镇,重庆江津中山古镇,江津
龙头嘴,重庆市龙头嘴森林公园,开州
平湖区,重庆万州三峡平湖旅游区,万州
陈抟故里,重庆市潼南区陈抟故里景区,潼南
天赐温泉,重庆天赐温泉生态旅游景区,九龙坡
鹅岭公园,重庆鹅岭公园,渝中
鳄鱼中心,重庆市鳄鱼中心,渝北
海石公园,重庆海石公园,沙坪坝
龙兴古镇,重庆渝北龙兴古镇景区,渝北
云篆山,重庆巴南云篆山,巴南
双桂堂,重庆梁平双桂堂,梁平
永川桃花源,重庆永川桃花源旅游度假区,永川
香海温泉,重庆永川香海温泉旅游度假区,永川
华生园,重庆华生园金色蛋糕梦幻王国景区,大渡口
抗战名人,重庆沙坪坝抗战名人旧居,沙坪坝
南海温泉,重庆大渡口南海温泉中心,大渡口
永隆山,重庆南川永隆山森林公园,南川
黑石山,重庆江津黑石山风景区,江津
黎香湖,重庆南川黎香湖湿地生态园,南川
花山公园,重庆南川花山公园,南川
南滨路,重庆南滨路景区,南岸
綦江博物馆,重庆綦江博物馆,綦江
南川生态大观园,重庆南川生态大观园,南川
静观花木,重庆北碚静观花木生态旅游区,北碚
印盒李花,重庆渝北印盒李花生态旅游区,渝北
宝林博物馆,重庆渝北宝林博物馆,渝北
文峰街,重庆合川文峰街,合川
松溉古镇,重庆永川松溉古镇,永川
安陶博物馆,重庆荣昌安陶博物馆,荣昌
怡园,重庆渝中嘉西村—怡园景区,渝中

嘉西村,重庆綦江高庙坝生态旅游区,綦江
高庙坝,重庆江津石门大佛景区,江津
石门大佛,重庆江津塘河古镇,江津
塘河古镇,重庆沙坪坝虎峰山景区,沙坪坝
虎峰山,重庆九龙坡九凤山景区,九龙坡
九凤山,重庆万州西游洞,万州
西游洞,重庆铜梁博物馆,铜梁

荷花山庄,重庆大足荷花山庄,大足
海棠香国,重庆大足海棠香国历史文化风情城,大足
天坪山,重庆巴南天坪山云林天乡景区,巴南
聂荣臻故居,重庆江津聂荣臻故居,江津
桂花博览园,重庆铜梁桂花博览园,铜梁
映像金阳,重庆映像金阳历史风貌区,南岸
蔬菜大观园,重庆万州同鑫蔬菜大观园,万州
西山公园,重庆万州西山公园,万州
石桥乡湿地公园,重庆万州石桥乡湿地公园,万州
放牛坪,重庆渝北放牛坪景区,渝北
盛山植物园,重庆开州盛山植物园,开州
苓茏苑,重庆北碚西山坪苓茏苑,北碚
马扎营,重庆开州马扎营养生旅游区,开州
天香草园,重庆开州紫海云天香草园,开州
紫海云天香草园,重庆开州紫海云天香草园,开州
荷和原乡,荷和原乡,铜梁
友缘山庄,重庆合川友缘山庄,合川
药用植物园,重庆药用植物园,南川
金蝶湖,重庆万盛金蝶湖文化公园景区,万盛
奇芳花谷,重庆万州奇芳花谷景区,万州
古今花海,重庆涪陵古今花海景区,涪陵
美心红酒,重庆美心红酒小镇景区3A,涪陵
凤凰花果山,重庆万州凤凰花果山景区,万州
夏布小镇,重庆荣昌夏布小镇景区,荣昌
梁平柚海,重庆中华梁平柚海,梁平
开州博物馆,重庆开州博物馆,开州
万盛科技馆,重庆万盛科技馆,万盛
月光草坪,重庆云阳月光草坪景区,云阳
李花源,重庆垫江李花源景区,垫江
骆騋山,重庆江津骆騋山景区,江津
仙草园,重庆垫江仙草园中医文化旅游区,垫江
七星谷,重庆万州七星谷景区,万州
美人谷,重庆万州桐花湾美人谷景区,万州
大韩民国,重庆大韩民国临时政府旧址陈列馆,渝中
岚苑,重庆市南岸岚苑景区,南岸
宋庆龄,重庆宋庆龄旧居陈列馆,渝中
竹林公园,重庆渝北竹林公园,渝北
弥陀禅院,重庆万州弥陀禅院,万州
九五,重庆万县“九五”惨案纪念馆,万州
沙溪温泉,重庆涪陵沙溪温泉,涪陵
南温泉,重庆南温泉风景区,巴南
红军烈士墓,重庆綦江石壕红军烈士墓,綦江
露德堂,重庆璧山露德堂景区,璧山
邱少云,重庆铜梁邱少云烈士纪念馆,铜梁
滚子坪,重庆江津滚子坪景区,江津
清源宫,重庆江津清源宫景区,江津
五金博物馆,重庆大足五金博物馆,大足
金梅印象,重庆铜梁金梅印象景区,铜梁
南山,重庆南岸南山桃花园景区,南岸
三色乡,重庆铜梁三色乡下时光景区,铜梁
江池横梁,重庆丰都江池横梁景区,丰都
李蔚如故里,重庆涪陵李蔚如故里,涪陵
天心桥,重庆开州天心桥景区,开州
巴山夜雨,重庆涪陵巴山夜雨休闲旅游区,涪陵
仙女洞,重庆开州温泉仙女洞,开州
三担湖,重庆璧山三担湖公园,璧山
白沙影视基地,重庆江津白沙老重庆影视基地,江津
白沙老影视基地,重庆江津白沙老重庆影视基地,江津
古红桔,重庆万州古红桔主题公园,万州
农林大世界,重庆铜梁西部农林大世界,铜梁
西部农林,重庆铜梁西部农林大世界,铜梁
教育博物馆,重庆綦江教育博物馆,綦江
太公山,重庆江津太公山景区,江津
花千谷,重庆云阳县香盟花千谷景区,云阳
泥溪农耕,重庆云阳泥溪农耕故土园景区,云阳
枣康源,重庆云阳县枣康源景区,云阳
锣鼓宕,重庆云阳县锣鼓宕风景区,云阳
四方井,重庆云阳县四方井公园景区,云阳
歧山草原,重庆云阳县歧山草原景区,云阳
红军第二路游击队烈士陵园,涪陵四川红军第二路游击队烈士陵园,涪陵
绿岛,重庆云阳绿岛景区,云阳
映山红,重庆云阳映山红公园,云阳
广益中学,重庆市广益中学校园景区,南岸
成都大熊猫繁育研究基地,成都大熊猫繁育研究基地,成都市
人民公园,,
成都鹪鹩人文精品酒店,,
缘贡自贡菜·川菜馆(春熙路店),,
解放碑,,
文殊院,,
太古里,,
不站花胶鸡(春熙店),,
天府广场,,
大慈寺,,
四川博物院,,
班花麻辣烫(太古里总店),,
成都远洋太古里,,
李子坝轻轨,,
鹤鸣茶社,,
成都环球中心,,
青羊宫,,
洞子口张老二凉粉,,
大院河鲜,,
严太婆锅魁,,
四川大学,,
成都吃客,,
阆中文庙,,
朝天门广场,,
中天楼,,
南山一棵树,,
川美,四川美术学院,
二厂文创公园,,
澜沧江,,
芦苇滩,,
上里古镇,,
木府,,
高庙古镇,,
翠映湖,,
飞泉沟,,
甘海子,,
紫坪铺水库,,
宝瓶口,,
伏龙观,,
兰桂坊,,
乐山乌木文化博览苑,,
老君山,,
青城后山,,
白鹿中法风情小镇,,
非物质文化遗产博览园,国际非物质文化遗产博览园,成都市
麓湖,成都麓湖水城景区,成都市
清代四川贡院,,
天府芙蓉园,成都市武侯区天府芙蓉园景区,成都市
夜啤酒长廊,,
浣花溪,,
瓜串串,,
几何书店,,
百花潭,,
成都锦城公园,,
大洛水码头,,
四川美术馆,,
五块石街道,,
春熙路,,
香槟广场,,
大熊猫月亮产房,,
IFS,,
塔子山,,
草海,,
四川省图书馆,,
重庆白象街,,
圣寿寺,,
南津关连峰楼,,
通天河,,
状元洞,,
磁器口古镇,重庆磁器口古镇,沙坪坝
东水门,,
四川美术学院(黄桷坪校区),四川美术学院,
重庆交通茶馆,,
蜜多商店,,
琴台故径,,
南津关古镇,,
孝泉镇,,
南屏步行街,,
南门楼,,
老北街,,
来福士,,
北仓文创园,,
翡翠湖,,
炒作大师,,
小酒馆,,
美国驻成都总领事馆,,
北仓图书馆,,
贡院民俗广场,,
锦里,,
皇冠大扶梯,,
白塔公园,,
文庙,,
阆中,阆中古城,南充市
贡院,,
奥陶纪,,
步行街,,
建川博物馆,,
渣滓洞,,
重庆好吃街,,
白公馆,,
纯阳老酒馆,,
中山四路,,
千厮门大桥,,
长嘉汇弹子石老街,重庆南岸长嘉汇弹子石老街,南岸
龙门浩老街,,
朝天门,,
龚滩古镇,,
罗汉寺,,
宝顶山,,
八一路好吃街,,
乐天花谷,,
史迪威博物馆,,
特园,,
周公馆,,
四川美术学院,,
观音桥步行街,,
涂鸦一条街,,
黄山蒋介石官邸,,
钟书阁,,
重庆大剧院,,
罗中立美术馆,,
筒子楼,,
洞亭火锅,,
桂园,,
蓝月谷,,
魁星楼,,
奎星楼,,
重庆园博园,重庆园博园,渝北
巅峰乐园,,
盤飧市,,
弹子石,重庆南岸长嘉汇弹子石老街,南岸
铁路四村,,
长寿古镇,,
西湖公园,,
滨江路,,
龙浒峡漂流,,
观音桥,重庆观音桥商圈都市旅游区,江北
贰厂,,
二厂,,
蒲花暗河,,
会仙楼,,
水煮青春,,
长江大桥,,
北山石刻,,
国际会议展览中心,,
西秦会馆,,
枇杷山,,
芳邻路酒吧一条街,,
遵义会议会址,,
下浩老街,,
安居古镇,,
西流沱小镇,,
武陵山乡,,
重庆大学,,
钟书阁(重庆店),,
丰都鬼城,,
昌州古城,,
观音桥好吃街,,
九眼桥,,
人民大会堂,,
李子坝公园,,
关岳庙,,
佛图关,,
鹅岭,重庆鹅岭公园,渝中
望乡台,,
华生园金色蛋糕梦幻王国,重庆华生园金色蛋糕梦幻王国景区,大渡口
夔门,,
安顺廊桥,,
濯水古镇,,
歌乐山国家森林公园,,
山王坪,,
壹华里,,
龚滩,,
重庆观音桥,重庆观音桥商圈都市旅游区,江北
中兴路旧货交易,,
九街,,
苏家坝立交桥,,
汉桓侯祠,,
重庆当代美术馆,,
宝轮寺,,
醉湖,,
风水博物馆,,
南滨公园,,
十八梯,,
成都玉林路,,
日月光中心广场,,
佛图关公园,,
洋人街,,
千佛山,,
巴岳山,,
解放路,,
寨山坪,,
时代广场,,
双龙湖,,
玉林串串香,,
八一好吃街,,
泰安古镇,,
李子坝,,
黄花园大桥,,
农民版画院,,
八一路街道,,
嘉陵江大桥,,
国泰艺术中心,,
红岩魂陈列馆,,
人民英雄纪念碑,,
净音寺,,
红军桥,,
红岩魂广场,,
黄桷湾立交桥,,
朝天门大桥,,
云端之眼观景台,,
梵高星空艺术馆,,
杨家坪步行街,,
奶牛梦工场,,
曾家岩书院,,
福音堂,,
石井坡,,
川剧院,,
南湖多彩植物园,,
鸿恩寺,,
圆觉洞摩崖造像,,
喵儿石创艺,,
重庆美术馆,,
嘉陵江,,
通远门城墙遗址,,
屈原故里,,
