景区名,景区名称,城市
千佛岩,乐山市夹江县东风堰-千佛岩景区,乐山市
千佛寨,安岳县千佛寨旅游景区,资阳市
千坵,营山县多彩千坵旅游景区,南充市
千厮门大桥,千厮门大桥,千厮门大桥
琴台故径,琴台故径,琴台故径
青城后山,青城山—都江堰旅游景区,成都市
青城山,青城山—都江堰旅游景区,成都市
青羊宫,青羊宫,青羊宫
清代四川贡院,清代四川贡院,清代四川贡院
清溪沟,筠连清溪沟景区,宜宾市
清溪谷,达州市大竹县五峰山旅游景区,达州市
清源宫,重庆江津清源宫景区,江津
邛酒文化风情村,中国酒村一邛酒文化风情旅游村落,成都市
邱少云,重庆铜梁邱少云烈士纪念馆,铜梁
屈原故里,屈原故里,屈原故里
渠县賨人谷,达州市渠县賨人谷旅游景区,达州市
渠县纪念园,渠县红色渠县纪念园旅游景区,达州市
渠县文庙,渠县文庙景区,达州市
泉映梨花,泉映梨花旅游景区,成都市
人民大礼堂,重庆人民大礼堂及人民广场,渝中
人民公园,成都人民公园,成都人民公园
人民广场,重庆人民大礼堂及人民广场,渝中
人民英雄纪念碑,重庆人民英雄纪念碑,重庆人民英雄纪念碑
日月光中心广场,解放碑,解放碑
荣县大佛,自贡市荣县大佛文化旅游区,自贡市
融汇温泉小镇,重庆融汇温泉小镇,沙坪坝
三担湖,重庆璧山三担湖公园,璧山
三道堰,西部最美水乡?三道堰旅游景区,成都市
三多古寨,三多古寨景区,自贡市
三江半岛,绵阳市越王楼?三江半岛景区,绵阳市
三色乡,重庆铜梁三色乡下时光景区,铜梁
三圣花乡,三圣花乡观光旅游区,成都市
三苏祠,三苏祠景区,眉山市
三索窝,三索窝旅游景区,雅安市
三峡博物馆,重庆中国三峡博物馆,渝中
三峡梯城,重庆云阳三峡梯城景区,云阳
三峡移民,重庆三峡移民纪念馆,万州
三星堆,四川广汉三星堆博物馆,德阳市
伞乡,泸州市江阳区董允坝伞乡景区,泸州市
森态源,森态源魔芋工业旅游景区,乐山市
沙溪温泉,重庆涪陵沙溪温泉,涪陵
沙子湾,沙子湾景区,眉山市
山城步道,山城步道,山城步道
山水印象,常生山水印象,宜宾市
山王坪,山王坪,山王坪
上邦温泉,重庆上邦温泉旅游区,九龙坡
上里古城,雅安市雨城区上里古城,雅安市
上里古镇,上里古镇,上里古镇
舍得酒,遂宁市射洪市舍得酒文化旅游区,遂宁市
燊海井,自贡市燊海井景区,自贡市
神龟峡,重庆市黔江神龟峡景区,黔江
神剑园,通川区神剑园旅游景区,达州市
神龙山,神龙山巴人石头城,广安市
神木垒,硗碛藏寨·神木垒景区,雅安市
神木园,江湾神木园,眉山市
沈酒庄,泸州市叙永县中国沈酒庄景区,泸州市
沈子国酒庄,沈子国酒庄景区,泸州市
升钟湖,乐山市峨眉山大佛禅院佛教文化旅游区,乐山市
圣寿寺,圣寿寺,圣寿寺
圣水桃园,宣汉县圣水桃园旅游景区,达州市
盛山植物园,重庆开州盛山植物园,开州
狮子生态,狮子生态农业景区,眉山市
十八梯,十八梯,十八梯
石板河,内江市威远县石板河旅游区,内江市
石板溪,珙县石板溪娃娃鱼生态园,宜宾市
石宝寨,重庆忠县石宝寨,忠县
石海洞乡,兴文石海洞乡旅游区,宜宾市
石井坡,石井坡,石井坡
石菊古地,兴文石菊古地旅游景区,宜宾市
石门大佛,重庆江津石门大佛景区,江津
石牌坊,内江市隆昌县石牌坊旅游区,内江市
石桥乡湿地公园,重庆万州石桥乡湿地公园,万州
石笋山,重庆石笋山景区,江津
石象湖,石象湖景区,成都市
史迪威博物馆,史迪威博物馆,史迪威博物馆
世界樟海,世界樟海-长滩樟林景区,宜宾市
寿香谷,中国香山?寿香谷,德阳市
寿星谷,寿星谷景区,眉山市
蔬菜大观园,重庆万州同鑫蔬菜大观园,万州
蜀国鹃都,蜀国鹃都景区,成都市
蜀酒文化,蜀酒文化园区,成都市
蜀南花海,蜀南花海,宜宾市
蜀南竹海,宜宾市蜀南竹海风景名胜区,宜宾市
蜀山茶海,高县蜀山茶海景区,宜宾市
双桂堂,重庆梁平双桂堂,梁平
双江古镇,重庆潼南双江古镇景区,潼南
双龙湖,重庆双龙湖,重庆双龙湖
双龙桥,西充县双龙桥中国有机生态循环第一村,南充市
水车坪,重庆黔江水车坪景区,黔江
水泸坝,兴文县水泸坝景区,宜宾市
水墨顺河,金口河区水墨顺河旅游景区,乐山市
丝绸博物馆,中国绸都丝绸博物馆,南充市
死海,遂宁市中国死海旅游度假区,遂宁市
四川博物院,四川博物院,四川博物院
四川大学,四川大学,四川大学
四川美术馆,四川美术馆,四川美术学院
四川美术学院,四川美术学院,四川美术学院
四川美术学院(黄桷坪校区),四川美术学院,四川美术学院
四川省图书馆,四川省图书馆,四川省图书馆
四方井,重庆云阳县四方井公园景区,云阳
四季果乡,乐至县四季果乡景区,资阳市
四季果园,宜宾市屏山县四季果园景区,宜宾市
四季庭苑,五月玫瑰四季庭苑,成都市
四面山,重庆江津四面山景区,江津
寺外桃源,南充南部县寺外桃源旅游景区,南充市
松溉古镇,重庆永川松溉古镇,永川
松鼠部落,成都松鼠部落森林假日公园,成都市
宋庆龄,重庆宋庆龄旧居陈列馆,渝中
苏家坝立交桥,苏家坝立交桥,苏家坝立交桥
桫椤湖,乐山市犍为县嘉阳.桫椤湖景区,乐山市
塔子山,塔子山,塔子山
太安石林,太安石林,宜宾市
太公山,重庆江津太公山景区,江津
太古里,成都远洋太古里,成都远洋太古里
太极岛,大竹县玉带河太极岛,达州市
太平古镇,太平古镇景区,泸州市
泰安古镇,青城山—都江堰旅游景区,成都市
青城山—都江堰旅游景区,青城山—都江堰旅游景区,成都市
塘河古镇,重庆江津塘河古镇,沙坪坝
桃花故里,成都市桃花故里旅游景区,成都市
桃花山,松林桃花山风景区,德阳市
桃文化博览园,西充县桃文化博览园,南充市
桃源山居,桃源山居旅游景区,乐山市
特园,特园,特园
藤椒文化,幺麻子藤椒文化旅游景区,眉山市
天池公园,天池公园景区,宜宾市
天池山,天池山景区,眉山市
天赐温泉,重庆天赐温泉生态旅游景区,九龙坡
天地旅游区,重庆天地旅游区,渝中
天福观光茶园,夹江天福观光茶园,乐山市
天府橙都,天府橙都,眉山市
天府芙蓉园,成都市武侯区天府芙蓉园景区,成都市
天府广场,天府广场,天府广场
天府微博村,天府微博村,成都市
天工开物,简阳东来桃源景区,成都市
天宫院,阆中天宫院风水文化景区,南充市
天坪山,重庆巴南天坪山云林天乡景区,巴南
天泉,苦竹?天泉景区,宜宾市
天台山,天台山风景名胜区,成都市
天仙硐,泸州天仙硐,泸州市
天香草园,重庆开州紫海云天香草园,开州
天心桥,重庆开州天心桥景区,开州
天艺浓园,天艺浓园艺术博览园,成都市
天意谷,天意谷景区,广安市
铁路四村,铁路四村,铁路四村
铁山坪,重庆铁山坪森林公园,江北
通远门城墙遗址,通远门城墙遗址,通远门城墙遗址
铜锣山,铜锣山旅游区,广安市
潼川古城,三台县潼川古城景区,绵阳市
统景温泉,重庆统景温泉风景区,渝北
筒子楼,筒子楼,筒子楼
涂鸦一条街,四川美术学院,四川美术学院
土家十三寨,重庆黔江土家十三寨,黔江
瓦屋山,瓦屋山景区,眉山市
万花谷,万花谷景区,内江市
万灵古镇,重庆荣昌万灵古镇,荣昌
万盛科技馆,重庆万盛科技馆,万盛
望丛祠,望丛祠,成都市
望乡台,望乡台,望乡台
维斯特,绵阳市北川维斯特农业休闲旅游区,绵阳市
蔚然花海,成都市龙泉驿区蔚然花海景区,成都市
文峰街,重庆合川文峰街,合川
文峰山,达州市渠县文峰山文化旅游景区,达州市
文庙,文庙,文庙
文殊院,文殊院,文殊院
文武荷田,高县文武荷田景区,宜宾市
卧佛院,安岳石窟.卧佛院,资阳市
乌梅山,达州市达川区乌梅山旅游景区,达州市
乌木水寨,泸州乌木水寨,泸州市
乌木文化博览苑,乐山市乌木文化博览苑,乐山市
无花果博览园,威远县世界无花果博览园旅游景区,内江市
五彩荷园,五彩荷园景区,自贡市
五彩林,五彩林乡,资阳市
五彩天池,金口河区五彩天池旅游景区,乐山市
五峰山,达州市大竹县五峰山旅游景区,达州市
五凤溪,五凤溪景区,成都市
五华山,五华山旅游区,广安市
五金博物馆,重庆大足五金博物馆,大足
五块石街道,五块石街道,五块石街道
五粮液,五粮液旅游景区,宜宾市
五龙度假,阊中市天林乡五龙度假区,南充市
五月玫瑰,五月玫瑰四季庭苑,成都市
武侯祠,成都武侯祠博物馆,成都市
武陵山,重庆涪陵武陵山国家森林公园,涪陵
武陵山乡,武陵山乡,武陵山乡
夕佳山民居,夕佳山民居,宜宾市
西部农林,重庆铜梁西部农林大世界,铜梁
西湖,富顺文庙·西湖景区,自贡市
西湖公园,西湖公园,西湖公园
西岭雪山,成都市西岭雪山景区,成都市
西流沱小镇,西流沱小镇,西流沱小镇
西南航空文化,西南航空文化旅游景区,成都市
西秦会馆,西秦会馆,西秦会馆
西山风,南充市西山风景区,南充市
西山公园,重庆万州西山公园,万州
西游洞,重庆万州西游洞,铜梁
西月湖公园,南充营山县西月湖公园,南充市
犀牛山庄,犀牛山庄,眉山市
下浩老街,下浩老街,下浩老街
夏布小镇,重庆荣昌夏布小镇景区,荣昌
夏河溪,夏河溪景区,成都市
仙草园,重庆垫江仙草园中医文化旅游区,垫江
仙海,绵阳市仙海旅游景区,绵阳市
仙女洞,重庆开州温泉仙女洞,开州
仙市古镇,仙市古镇旅游景区,自贡市
先锋新寨,五渡先锋新寨景区,乐山市
鲜花山谷,鲜花山谷,成都市
香槟广场,香槟广场,香槟广场
香谷水世界,凤垚香谷水世界,宜宾市
香海温泉,重庆永川香海温泉旅游度假区,永川
香炉山,达州市宣汉县香炉山旅游景区,达州市
香山,中国香山?寿香谷,德阳市
响水六坊,响水六坊景区,眉山市
小酒馆,玉林路小酒馆,玉林路小酒馆
小南海,重庆黔江小南海旅游景区,黔江
小青龙河,小青龙河旅游景区,内江市
孝泉镇,孝泉镇,孝泉镇
肖溪古镇,广安市肖溪古镇,广安市
蟹螺堡子,蟹螺堡子,雅安市
新场古镇,新场古镇,成都市
新华公园,成都市新华公园,成都市
杏花村,青白江区客家杏花村旅游景区,成都市
幸福公社,幸福公社,宜宾市
幸福七里,安州区幸福七里旅游景区,绵阳市
幸福田园,幸福田园,成都市
熊猫古城,熊猫古城景区,雅安市
秀岭,秀岭春天景区,达州市
玄天湖,重庆铜梁玄天湖景区,铜梁
雪山新村,雅安雪山新村景区,雅安市
雪玉洞,重庆丰都雪玉洞景区,丰都
血村,南充市蓬安县血村,南充市
寻龙山,寻龙山景区,绵阳市
雅女湖,雅女湖有机农庄,眉山市
烟峰彝家新寨,马边县烟峰彝家新寨旅游景区,乐山市
严道古城,严道古城景区,雅安市
盐业历史博物馆,自贡盐业历史博物馆,自贡市
罨画池,崇州市罨画池,成都市
羊鹿山,重庆巴南羊鹿山景区,巴南
杨闇公故里,重庆潼南杨闇公故里景区,潼南
杨家坪步行街,杨家坪步行街,杨家坪步行街
洋烈水乡,达州市宣汉县洋烈水乡景区,达州市
洋人街,洋人街,洋人街
尧坝古镇,尧坝古镇,泸州市
药王谷,绵阳市北川药王谷旅游景区,绵阳市
药用植物园,重庆药用植物园,南川
夜啤酒长廊,夜啤酒长廊,夜啤酒长廊
伊利乳业,成都伊利乳业园旅游景区,成都市
壹华里,壹华里,壹华里
怡园,重庆渝中嘉西村—怡园景区,渝中
怡园景区,重庆渝中嘉西村—怡园景区,渝中
移民纪念馆,重庆三峡移民纪念馆,万州
艺术部落,梓潼县文昌艺术部落,绵阳市
易家河坝乡,广汉市易家河坝乡村旅游区,德阳市
易园园林,四川易园园林艺术博物馆,成都市
银城花海,银城花海,广安市
银鼎山,邻水县银鼎山公园,广安市
印盒李花,重庆渝北印盒李花生态旅游区,渝北
印象梅林,绵阳市平武印象梅林景区,绵阳市
樱花博览园,眉山樱花博览园,眉山市
樱桃山,成都蒲江樱桃山旅游景区,成都市
映山红,重庆云阳映山红公园,云阳
映像金阳,重庆映像金阳历史风貌区,南岸
永川桃花源,重庆永川桃花源旅游度假区,永川
永隆山,重庆南川永隆山森林公园,南川
友缘山庄,重庆合川友缘山庄,合川
有机生活公园,西充县中国有机生活公园旅游景区,南充市
余泽鸿故居,余泽鸿故居,宜宾市
禹迹山风,南部县禹迹山风景区,南充市
玉蟾山,玉蟾山景区,泸州市
玉皇养生谷,玉皇养生谷,成都市
玉龙山,绵阳市盐亭县玉龙山旅游景区,绵阳市
玉章故里,自贡市玉章故里景区,自贡市
御翠草堂,御翠草堂,成都市
御景园,什邡市花坞.御景园景区,德阳市
元通古镇,成都市崇州元通古镇景区,成都市
园博园,重庆园博园,渝北
圆觉洞,资阳市安岳石刻?圆觉洞景区,资阳市
圆觉洞摩崖造像,圆觉洞摩崖造像,圆觉洞摩崖造像
辕门仙草谷,辕门仙草谷,乐山市
月光草坪,重庆云阳月光草坪景区,云阳
月亮湖,雅安市名山区月亮湖景区,雅安市
岳池农家,岳池县岳池农家生态文化旅游区,广安市
岳池县乡愁园,岳池县乡愁园景区,广安市
悦缘花谷,悦缘花谷景区,资阳市
越王楼,绵阳市越王楼?三江半岛景区,绵阳市
云端之眼观景台,云端之眼观景台,云端之眼观景台
云峰茶谷,大竹县云峰茶谷旅游景区,达州市
云峰山,荥经县云峰山景区,雅安市
云溪温泉,云溪温泉,泸州市
云篆山,重庆巴南云篆山,巴南
枣康源,重庆云阳县枣康源景区,云阳
渣滓洞,渣滓洞,渣滓洞
寨山坪,寨山坪,寨山坪
战旗村,战旗村景区,成都市
张坝桂圆林,泸州市张坝桂圆林旅游景区,泸州市
张飞庙,重庆云阳张飞庙,云阳
张澜故里,张澜故里旅游区,南充市
张澜纪念馆,张澜纪念馆旅游景区,南充市
长嘉汇弹子石老街,重庆南岸长嘉汇弹子石老街,南岸
长江大桥,长江大桥,长江大桥
长江第一湾,南溪区长江第一湾景区,宜宾市
长江索道,重庆长江索道景区,渝中
长江竹岛,江安县长江竹岛景区,宜宾市
长寿古镇,长寿古镇,长寿古镇
长寿湖,重庆长寿湖旅游区,长寿
长滩樟林,世界樟海-长滩樟林景区,宜宾市
赵一曼故居,翠屏区赵一曼故居景区,宜宾市
真佛山,达州市真佛山景区,达州市
中富农庄,广安市岳池县中富农庄风景区,广安市
中国民主党派历史陈列馆,重庆中国民主党派历史陈列馆景区,渝中
中华侏罗纪探秘,遂宁市中华侏罗纪探秘旅游区,遂宁市
中里新村,中里新村,雅安市
中山古镇,重庆江津中山古镇,江津
中山四路,中山四路,中山四路
中泰天心,重庆巴南中泰天心佛文化旅游区,巴南
中兴路旧货交易,中兴路旧货交易,中兴路旧货交易
中岩,中岩景区,眉山市
忠县石宝寨,重庆忠县石宝寨,忠县
重龙山,内江资中重龙山,内江市
重庆白象街,重庆白象街,重庆白象街
重庆大剧院,重庆大剧院,重庆大剧院
重庆大礼堂,重庆人民大礼堂及人民广场,渝中
重庆大学,重庆大学,重庆大学
重庆当代美术馆,重庆当代美术馆,重庆当代美术馆
重庆观音桥,重庆观音桥商圈都市旅游区,江北
重庆欢乐谷,重庆欢乐谷景区,渝北
重庆建川博物馆,重庆建川博物馆,九龙坡
重庆交通茶馆,重庆交通茶馆,重庆交通茶馆
重庆科技馆,重庆科技馆,江北
重庆美术馆,重庆美术馆,重庆美术馆
重庆南岸南山桃花园景区,重庆市南山风景区,南岸
重庆南山植物园,重庆市南山风景区,南岸
重庆黔江濯水景区,重庆黔江濯水古镇,黔江
重庆人民大礼堂,重庆人民大礼堂及人民广场,渝中
重庆三峡博物馆,重庆中国三峡博物馆,渝中
重庆市规划展览馆,重庆市规划展览馆,渝中
重庆渝中嘉西村,重庆渝中嘉西村—怡园景区,渝中
重庆园博园,重庆园博园,渝北
周公馆,周公馆,周公馆
周公山,雅安周公山森林公园,雅安市
周君记火锅,重庆周君记火锅食品工业旅游体验园,九龙坡
朱德故里,朱德故里景区,南充市
朱德旧居陈列馆,泸州市况场朱德旧居陈列馆,泸州市
朱德铜像,仪陇县朱德铜像纪念园,南充市
竹海酒庄,长宁县竹海酒庄,宜宾市
竹林公园,重庆渝北竹林公园,渝北
竹石林,西部竹石林景区,宜宾市
竹溪湖,邛峡竹溪湖生态旅游景区,成都市
竹艺城,国际竹艺城景区,眉山市
竹艺村,成都市崇州市竹艺村景区,成都市
状元洞,状元洞,状元洞
卓简井,卓简井遗址公园,遂宁市
濯水,重庆黔江濯水古镇,黔江
濯水古镇,重庆黔江濯水古镇,黔江
子昂故里,子昂故里文化旅游区,遂宁市
梓州杜甫草堂,三台县梓州杜甫草堂景区,绵阳市
紫海云天香草园,重庆开州紫海云天香草园,开州
紫坪铺水库,紫坪铺水库,紫坪铺水库
紫石关,紫石关村旅游景区,雅安市
自然博物馆,重庆自然博物馆,北碚
醉湖,醉湖,醉湖
醉美橙香,醉美橙香旅游景区,南充市
醉氧天街,醉氧天街,乐山市
遵义会议会址,遵义会议会址,遵义会议会址
昭化文庙,昭化文庙,昭化文庙
绵阳市千佛山,绵阳市千佛山,绵阳市千佛山
安仁古镇,安仁古镇,安仁古镇
成都蜀锦织绣博物馆,成都蜀锦织绣博物馆,成都蜀锦织绣博物馆
昌州故里,昌州故里,昌州故里
江津西湖镇,江津西湖镇,江津西湖镇
绵阳市千佛山,绵阳市千佛山,绵阳市千佛山
重庆市博物馆,重庆市博物馆,重庆市博物馆
方所书店,方所书店,方所书店
成都博物馆,成都博物馆,成都博物馆
烽烟三国,烽烟三国,烽烟三国
